New Variable Categories,New Variable Subject,Unique,Variable Tables,Variable Subject,Collapse Category,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Trip Information,Stops,RHTS,Trip-Level,General trip characteristics,Destination Location,RHTS,OB_TRACTTAZ,Census Tract or TAZ for Outbound Stops,,,,,,,,,,,,,,,,,,,,,,"OB_S1TRACT |
OB_S1TAZ |
OB_S2TRACT|
OB_S2TAZ |
OB_S3TRACT |
OB_S3TAZ |
OB_S4TRACT |
OB_S4TAZ |
IB_S1TRACT |
IB_S1TAZ |
IB_S2TRACT |
IB_S2TAZ |
IB_S3TRACT |
IB_S3TAZ |
IB_S4TRACT |
IB_S4TAZ |
SUBT_DTRPNO |
SUBT_DTAZ |
SUBT_DTRACT |","Census Tract 2010 for Outbound Stop 1 |
TAZ (NYMTC) for Outbound Stop 1 |
Census Tract 2010 for Outbound Stop 2 |
TAZ (NYMTC) for Outbound Stop 2 |
Census Tract 2010 for Outbound Stop 3 |
TAZ (NYMTC) for Outbound Stop 3 |
Census Tract 2010 for Outbound Stop 4 |
TAZ (NYMTC) for Outbound Stop 4 |
Census Tract 2010 for Inbound Stop 1 |
TAZ (NYMTC) for Inbound Stop 1 |
Census Tract 2010 for Inbound Stop 2 |
TAZ (NYMTC) for Inbound Stop 2 |
Census Tract 2010 for Inbound Stop 3 |
TAZ (NYMTC) for Inbound Stop 3 |
Census Tract 2010 for Inbound Stop 4 |
TAZ (NYMTC) for Inbound Stop 4 |
Trip No. for Subtour Destination |
Subtour Destination TAZ (NYMTC) |
Subtour Destination Census Tract 2010 |",,,,,,,1,1
Trip Information,Stops,RHTS,Trip-Level,General trip characteristics,Destination Location,RHTS,IB_TRACTTAZ,Census Tract or TAZ for Inbound Stops,,,,,,,,,,,,,,,,,,,,,,"IB_S1TRACT |
IB_S1TAZ |
IB_S2TRACT |
IB_S2TAZ |
IB_S3TRACT |
IB_S3TAZ |
IB_S4TRACT |
IB_S4TAZ |","Census Tract 2010 for Inbound Stop 1 |
TAZ (NYMTC) for Inbound Stop 1 |
Census Tract 2010 for Inbound Stop 2 |
TAZ (NYMTC) for Inbound Stop 2 |
Census Tract 2010 for Inbound Stop 3 |
TAZ (NYMTC) for Inbound Stop 3 |
Census Tract 2010 for Inbound Stop 4 |
TAZ (NYMTC) for Inbound Stop 4 |",,,,,,,1,1
Trip Information,Destination,RHTS,Trip-Level,General trip characteristics,Destination Location,RHTS,HEND,1 if Tour Ended at Home,,,,,,,,,,,,,,,,,,,,,,HEND,1 if Tour Ended at Home,,,,,,,1,
Trip Information,Purpose,In 4 Surveys,Trip-Level,General trip characteristics,Destination Purpose,Smartphone Pilot,destination_purp,Destination purpose,"d_purpose |
d_purpose_other_specify |
d_purpose_category |","Destination purpose |
Destination purpose, other specify |
Destination purpose category |",,,,,1,1,"d_purpose |
d_purpose_category |
d_purpose_imputed |
d_purpose_category_imputed |","Destination purpose (recommend using imputed purpose) |
Destination purpose category (recommend using imputed purpose) |
Imputed activity at trip destination (recommend using this version of destination trip purpose) |
Imputed category of activity at destination origin (recommend using this version of destination trip purpose category) |",,,,,1,"TRIPPURP |
WHYTO","Generalized purpose of trip, home-based and non-home based |
Trip Destination Purpose |",,,,1,"DTPURP |
DTPURP_AGG |
DTPUR2 |
SUBT_DPRIOR","Destination Primary Trip Purpose [RETR] |
Destination Purpose (Aggregate) |
Secondary Destination Purpose Code [RETR] |
Priority for Subtour Destination |",,,,1,1,1,,
Trip Information,Purpose,RHTS,Trip-Level,General trip characteristics,Leg-Purpose,RHTS,TPURP,Trip Purpose,,,,,,,,,,,,,,,,,,,,,,"TPURP| 
TPUR2 | 
O_TPURP |
PRIM_PURP |
SUBT_PURP |
TOUR_PURP","Trip Purpose | 
Secondary Trip Purpose | 
Other Trip Purpose |
Tour Purpose |
Subtour Purpose |
Tour Purpose |",,,,,,,1,1
Trip Information,Stops,RHTS,Trip-Level,General trip characteristics,Leg-stop,RHTS,TRIP_PRIORS_PURP,Priority and Purpose of Trip Stops,,,,,,,,,,,,,,,,,,,,,,"OB_S1PRIOR |
OB_S2PRIOR |
OB_S3PRIOR |
OB_S4PRIOR |
OB_S1PURP |
OB_S2PURP |
OB_S3PURP |
OB_S4PURP |
IB_S1PRIOR |
IB_S2PRIOR |
IB_S3PRIOR |
IB_S4PRIOR |
IB_S1PURP |
IB_S2PURP |
IB_S3PURP |
IB_S4PURP |","Priority of Outbound Stop 1 |
Priority of Outbound Stop 2 |
Priority of Outbound Stop 3 |
Priority of Outbound Stop 4 |
Purpose for Outbound Stop 1 |
Purpose for Outbound Stop 2 |
Purpose for Outbound Stop 3 |
Purpose for Outbound Stop 4 |
Priority of Inbound Stop 1 |
Priority of Inbound Stop 2 |
Priority of Inbound Stop 3 |
Priority of Inbound Stop 4 |
Purpose for Inbound Stop 1 |
Purpose for Inbound Stop 2 |
Purpose for Inbound Stop 3 |
Purpose for Inbound Stop 4 |",,,,,,,1,1
Trip Information,Stops,RHTS,Trip-Level,General trip characteristics,Leg-stop,RHTS,TRPNOS,TripNo for Stops,,,,,,,,,,,,,,,,,,,,,,"OB_S1TRPNO |
OB_S2TRPNO |
OB_S3TRPNO |
OB_S4TRPNO |
IB_S1TRPNO |
IB_S2TRPNO |
IB_S3TRPNO |
IB_S4TRPNO |","TripNo for Outbound Stop 1 |
TripNo for Outbound Stop 2 |
TripNo for Outbound Stop 3 |
TripNo for Outbound Stop 4 |
TripNo of Inbound Stop 1 |
TripNo of Inbound Stop 2 |
TripNo of Inbound Stop 3 |
TripNo of Inbound Stop 4 |",,,,,,,1,1
Demographics,Employment,In 4 Surveys,Person-Level,Work-related,Employment,Smartphone Pilot,employment,Employment status,employment,Employment status,,1,,,,,worker,Employment status,,1,,,,WORKER,Worker status,,1,,1,EMPLY,Employed,,1,,,,,,
Demographics,Employment,In 4 Surveys,Person-Level,Work-related,Employment,Smartphone Pilot,num_jobs,Number of jobs,num_jobs,Number of jobs,,1,,,,,jobs_count,Number of jobs,,1,,,,GT1JBLWK,More than One Job,,2,,,JOBS,Number of Jobs,,1,,,,,,
Demographics,Employment,In 4 Surveys,Person-Level,Work-related,Employment,Smartphone Pilot,industry,industry,industry | industry_other,"industry | Industry, other specify",,1,,,,,industry,Work industry,,1,,,,OCCAT,Job Category,,1,,,INDUS | O_INDUS,"Industry | Other, Industry",,1,,,,,,
Demographics,Mode Preference,NHTS,Household-Level,Household Characteristics,Fuel Cost,NHTS,GASCOST,Cost of Gasoline,,,,,,,,,,,,,,,,"PRICE |
GASPRICE |
GSCOST |
GSTOTCST |","Price of Gasoline Affects Travel |
Price of gasoline, in cents, on respondent's travel day |
Price of gasoline, in cents, on respondent's travel day |
Annualized fuel cost in US dollars per equivalent gallon |
Annual fuel expenditures in US dollars |",1,,1,1,,,,,,,,,,
Demographics,Mode Preference,NHTS,Vehicle-Level,Vehicle-related,Fuel Cost,NHTS,GSYRGAL,Annual fuel consumption in US gallons,,,,,,,,,,,,,,,,GSYRGAL,Annual fuel consumption in US gallons,,,1,,,,,,,,,,,
Demographics,Mode Preference,NHTS,Person-Level,Vehicle-related,Fuel Cost,NHTS,HFUEL,Type of Hybrid Vehicle,,,,,,,,,,,,,,,,HFUEL,Type of Hybrid Vehicle,,,1,,,,,,,,,,,
Locations,Home,Smartphone Pilot,Household-Level,Survey-related,Home location,Smartphone Pilot,sample_home_loc,Sample home location,"sample_home_lat |
sample_home_lon |
sample_home_bg |
sample_home_county |
sample_home_state |","Sample home latitude |
Sample home longitude |
Sample home block group |
Sample home county (fips code) |
Sample home state (fips code) |",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations,Home,In 2 Surveys,Household-Level,Household Characteristics,Home location,Smartphone Pilot,home_loc,Home Location,"home_puma |
home_lat |
home_lon |
home_bg |
home_county |
home_state |
home_in_region |","Reported home location Public Use Microdata Area (PUMA) |
Reported home latitude |
Reported home longitude |
Reported home block group |
Reported home county (fips code) |
Reported home state (fips code) |
Reported home in region |",1,,,,,,"cms_zone, home_cms_zone, reported_home_cms_zone, Reported home CMS zone","Reported home CMS zone, Home CMS zone",1,1,1,1,1,"CENSUS_D |
CENSUS_R |
HHSTATE |
HHSTFIPS |
HH_CBSA |
MSACAT |","2010 Census division classification for the respondent's home address |
Census region classification for home address |
Household state |
State FIPS for household address |
Core Based Statistical Area (CBSA) FIPS code for the respondent's home address |
Metropolitan Statistical Area (MSA) category for the household's home address, based on household's home geocode and TIGER/Line Shapefiles. |",1,1,1,1,"HADDR |
HYCORD |
HXCORD |
HCOUNTY |
HSTATE |
HCITY |
HCITY_PL |
HCITY_MCD |
HZIP |
HTRACT |
HTAZ |
HMPO |","Home Address |
Home Y Latitude (in WGS 84) |
Home X Longitude (in WGS 84) |
Home County |
Home State |
Home City (TB) |
Home City (Place Name) |
Home City (MCD Place Name) |
Home Zip Code |
Home Census Tract 2010 |
Home TAZ (NYMTC) |
Residence MPO |",1,,,,1,1,1,1
Locations,Home,NHTS,Household-Level,Household Characteristics,Home location,NHTS,home_loc_census_demographics,Home Location Census Demographics,,,,,,,,,,,,,,,,"CDIVMSAR |
HBHTNRNT |
HBHUR |
HBPPOPDN |
HBRESDN |
HTEEMPDN |
HTHTNRNT |
HTPPOPDN |
HTRESDN |
MSASIZE |
URBAN |
URBANSIZE |
URBRUR |
RAIL |","Grouping of household by combination of census division, MSA status, and presence of a subway system when population greater than 1 million |
Category of the percent of renter-occupied housing in the census block group of the household's home location |
Urban / Rural indicator - Block group |
Category of population density (persons per square mile) in the census block group of the household's home location |
Category of housing units per square mile in the census block group of the household's home location |
Category of workers per square mile in the census tract of the household's home location |
Category of the percent of renter-occupied housing in the census tract of the household's home location |
Category of population density (persons per square mile) in the census tract of the household's home location |
Category of housing units per square mile in the census tract of the household's home location |
Population size category of the Metropolitan Statistical Area (MSA), from the 2010-2014 five-year American Community Survey (ACS) API. |
Household's urban area classification, based on home address and 2014 TIGER/Line Shapefile |
Urban area size where home address is located |
Household in urban/rural area |
MSA heavy rail status for household |",1,1,1,1,,,,,,,,,,
Locations,Home,RHTS,Household-Level,Identifier,Home location,RHTS,HH1,Domain,,,,,,,,,,,,,,,,,,,,,,HH1,Domain,1,1,1,1,1,1,1,1
Locations,Home,RHTS,Household-Level,Household Characteristics,Home location,RHTS,GEO_GROUPS,County/Regional/Political Groups,,,,,,,,,,,,,,,,,,,,,,"GEO_GROUP1 |
GEO_GROUP2 |
GEO_GROUP3 |","County Group: Level 1 |
Regional Boundaries: Level 2 |
Political Boundaries: Level 3 |",1,1,,1,,,,
Locations,Home,RHTS,Trip-Level,Household Characteristics,Home location,RHTS,HNYC,1 if Home is in NYC,,,,,,,,,,,,,,,,,,,,,,HNYC,1 if Home is in NYC,,,,,1,1,1,1
Demographics,Income,In 4 Surveys,Household-Level,Household Characteristics,Household Income,Smartphone Pilot,income_detailed,Household income (detailed categories),income_detailed,Household income (detailed categories),1,,,,,,income_detailed,Household's total annual income: detailed categories,1,,,,,HHFAMINC,Household income,2,2,2,2,INCOM,Household Income,2,,,,,,,
Demographics,Income,In 2 Surveys,Household-Level,Household Characteristics,Household Income,Smartphone Pilot,income_aggregate,Household income (aggregate categories),income_aggregate,Household income (aggregate categories),1,,,,,,income_aggregate,Household's total annual income: aggregate categories,1,,,,,,,,,,,,,,,,,,,,
Trip Information,Distance,In 4 Surveys,Trip-Level,General trip characteristics,Leg-distance,Smartphone Pilot,trip_distances,Trip distance,distance_miles,Trip distance (miles),,,,,1,,trip_distance,Trip distance (miles),,,,,1,"TRPMILES | TRPMILAD
VMT_MILE |","Trip distance in miles, derived from route geometry returned by Google Maps API, or from reported loop-trip distance | Trip distance in miles, adjusted for comparability to past surveys |
Trip distance in miles for personally driven vehicle trips, derived from route geometry returned by Google Maps API |",,,,1,"TRIPDIST |
TRPDIST_HN |","Trip Distance (Miles) |
Trip Distance (Miles) - Hwy Network (Midday) |",,,,1,1,1,,
Trip Information,Distance,NYCDOT Mobility Survery,Trip-Level,General trip characteristics,Leg-distance,NYCDOT Mobility Survery,d_distance_home,Distance from trip end to imputed home location in meters,,,,,,,,,d_distance_home,Distance from trip end to imputed home location in meters,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Distance,NYCDOT Mobility Survery,Trip-Level,General trip characteristics,Leg-distance,NYCDOT Mobility Survery,d_distance_work,Distance from trip end to imputed work location in meters,,,,,,,,,d_distance_work,Distance from trip end to imputed work location in meters,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Distance,NYCDOT Mobility Survery,Trip-Level,General trip characteristics,Leg-distance,NYCDOT Mobility Survery,d_distance_school,Distance from trip end to imputed school location in meters,,,,,,,,,d_distance_school,Distance from trip end to imputed school location in meters,,,,,1,,,,,,,,,,,,,,,,
Locations,Work,NHTS,Person-Level,Work-related,Leg-distance,NHTS,GCDWORK,"Minimum geodesic (Great Circle) distance between home location and work location in meters, using WGS84 coordinate system",,,,,,,,,,,,,,,,GCDWORK,"Minimum geodesic (Great Circle) distance between home location and work location in meters, using WGS84 coordinate system",,1,,,,,,,,,,,,
Trip Information,Timestamp,In 4 Surveys,Trip-Level,General trip characteristics,Leg-duration,NYCDOT Mobility Survery,depart_time,Time departed from origin (EST),"depart_hour |
depart_minute |
depart_second |
depart_date |","Depart hour |
Depart minute |
Depart seconds |
Depart date |",,,,,1,,depart_time,Time departed from origin (EST),,,,,1,STRTTIME,Trip Start Time (HHMM),,,,1,"DEP_HR | DEP_MIN
TRP_DEP_MIN |
TRP_DEP_HR |
TRP_DEP |
IB_LDEPHBT |
OB_LDEPS1 |
OB_LDEPS2 |
OB_LDEPS3 |
OB_LDEPS4 |
IB_LDEPS1 |
IB_LDEPS2 |
IB_LDEPS3 |
IB_LDEPS4 |
OB_LDEPHBT |
IN_LDEPHB |
OB_LDEPSUBT |
IN_LDEPSUBT |","Departure Hour | Departure Minute |
Trip Departure Minutes |
Trip Departure Hours, 1 and 2 represents 1 AM and 2 AM respectively |
Trip Departure Time |
Departure Time for Inbound Leg |
Departure Time for Stop 1 on OB Leg |
Departure Time for Stop 2 on OB Leg |
Departure Time for Stop 3 on OB Leg |
Departure Time for Stop 4 on OB Leg |
Departure Time for Stop 1 on IB Leg |
Departure Time for Stop 2 on IB Leg |
Departure Time for Stop 3 on IB Leg |
Departure Time for Stop 4 on IB Leg |
Departure Time for Outbound Leg of Main HB Tour |
Departure Time for Inbound Leg of Main HB Tour |
Departure Time for Outbound Leg of subtour |
Departure Time for Inbound Leg of subtour |",,,,2,2,2,1,1
Trip Information,Timestamp,In 4 Surveys,Trip-Level,General trip characteristics,Leg-duration,NYCDOT Mobility Survery,arrive_time,Time arrived at destination (EST),"arrive_hour |
arrive_minute |
arrive_second |
arrive_date |","Arrive hour |
Arrive minute |
Arrive seconds |
Arrive date |",,,,,1,,arrive_time,Time arrived at destination (EST),,,,,1,"ENDTIME |
WRKTIME |","Trip End Time (HHMM) | 
Arrival Time at Work",,1,,1,"ARR_HR | ARR_MIN |
TRP_ARR_HR |
TRP_ARR_MIN |
TRP_ARR |
IB_LARRHBT
OB_LARRS1 |
OB_LARRS2 |
OB_LARRS3 |
OB_LARRS4 |
IB_LARRS1 |
IB_LARRS2 |
IB_LARRS3 |
IB_LARRS4 |
OB_LARRHBT |
IN_LARRHB |
OB_LARRSUBT |
IN_LARRSUBT |","Arrival Hour | Arrival Minute |
Trip Arrival Hours, 1 and 2 represents 1 AM and 2 AM respectively |
Trip Arrival Minutes |
Trip Arrival Time |
Arrival Time for Inbound Leg
Arrival Time for Stop 1 on OB Leg |
Arrival Time for Stop 2 on OB Leg |
Arrival Time for Stop 3 on OB Leg |
Arrival Time for Stop 4 on OB Leg |
Arrival Time for  Stop 1 on IB Leg |
Arrival Time for  Stop 2 on IB Leg |
Arrival Time for  Stop 3 on IB Leg |
Arrival Time for  Stop 4 on IB Leg |
Arrival Time for Outbound Leg of Main HB Tour |
Arrival Time for Inbound Leg of Main HB Tour |
Arrival Time for Outbound Leg of subtour |
Arrival Time for Inbound Leg of subtour |",,,,2,2,2,1,1
Trip Information,Duration,In 4 Surveys,Trip-Level,General trip characteristics,Leg-duration,Smartphone Pilot,duration_minutes,Trip duration (minutes),duration_minutes,Trip duration (minutes),,,,,1,,trip_duration,Trip duration (minutes),,,,,1,TRVLCMIN,Trip Duration in Minutes,,,,1,"TRPDUR | TRPDUR_C |
TRPDUR_HN |","Trip Duration (Minutes) | Trip Duration (minutes) - PB |
Trip Duration (Minutes) - Hwy Network (Midday) |",,,,1,1,1,,
Trip Information,Duration,Smartphone Pilot,Trip-Level,General trip characteristics,Leg-duration,Smartphone Pilot,dwell_minutes,Dwell time at destination (minutes),dwell_minutes,Dwell time at destination (minutes),,,,,1,,,,,,,,,DWELTIME,Time at destination,,,,1,"ACTDUR | 
ACTDUR_C","Activity Duration| 
Activity Duration (minutes) - PB",,,,2,2,2,,
Locations,Work,In 2 Surveys,Person-Level,Work-related,Leg-duration,NHTS,TIMETOWK,Trip Time to Work in Minutes,,,,,,,,,,,,,,,,"TIMETOWK |
NOCONG |","Trip Time to Work in Minutes |
Trip Time in Minutes to Work without Traffic |",,1,,,TTTWS,Typical Travel Time to Work,,1,,,,,,
Trip Information,Duration,NHTS,Trip-Level,Transit-related,Leg-duration,NHTS,TRACCTM,Trip Time to Transit Station in Minutes,,,,,,,,,,,,,,,,TRACCTM,Trip Time to Transit Station in Minutes,,,,1,,,,,,,,,,
Trip Information,Duration,NHTS,Trip-Level,Transit-related,Leg-duration,NHTS,TREGRTM,Time to Destination from Transit in Minutes,,,,,,,,,,,,,,,,TREGRTM,Time to Destination from Transit in Minutes,,,,1,,,,,,,,,,
Trip Information,Duration,NHTS,Trip-Level,Transit-related,Leg-duration,NHTS,TRWAITTM,Transit wait time in minutes,,,,,,,,,,,,,,,,TRWAITTM,Transit wait time in minutes,,,,1,,,,,,,,,,
Demographics,Education,RHTS,Person-Level,School-related,Leg-duration,RHTS,TTTSS,Typical Travel Time to School,,,,,,,,,,,,,,,,,,,,,,TTTSS,Typical Travel Time to School,,1,,,,,,
Trip Information,Mode,In 4 Surveys,Person-Level,Work-related,Leg-Mode,NHTS,WRKTRANS,Mode to Work,"work_mode_broad_walk |
work_mode_broad_own |
work_mode_broad_auto |
work_mode_broad_taxi |
work_mode_broad_bus |
work_mode_broad_rail |
work_mode_broad_ferry |
work_mode_broad_bike |
work_mode_broad_micromobility |
work_mode_broad_other |
work_mode_own |
work_mode_auto |
work_mode_taxi |
work_mode_bus |
work_mode_rail |
work_mode_bike |
work_mode_micromobility","Work mode once COVID-19 measures have ended: Walk (or jog/wheelchair) |
Work mode once COVID-19 measures have ended: Household vehicle (or motorcycle) |
Work mode once COVID-19 measures have ended: Other vehicle (e.g., friend’s car, rental, carshare, work car) |
Work mode once COVID-19 measures have ended: Uber/Lyft, taxi, or car service |
Work mode once COVID-19 measures have ended: Bus, shuttle, or Commuter Van (dollar van) |
Work mode once COVID-19 measures have ended: Rail (e.g., train, subway) |
Work mode once COVID-19 measures have ended: Ferry |
Work mode once COVID-19 measures have ended: Bicycle or e-bicycle |
Work mode once COVID-19 measures have ended: Micromobility (e.g., scooter, moped, skateboard) |
Work mode once COVID-19 measures have ended: Other |
Household vehicle used for commuting once COVID-19 measures have ended |
Other vehicle used for commuting once COVID-19 measures have ended |
Taxi or ride service used for commuting once COVID-19 measures have ended |
Bus used for commuting once COVID-19 measures have ended |
Rail used for commuting once COVID-19 measures have ended |
Bicycle used for commuting once COVID-19 measures have ended |
Micromobility device used for commuting once COVID-19 measures have ended |",,,,,,,"work_mode |
work_mode_own |
work_mode_auto |
work_mode_taxi |
work_mode_bus |
work_mode_rail |
work_mode_ferry |
work_mode_bike |
work_mode_scooter |","Typical mode to work |
Household vehicle typically taken to and from work |
Other vehicle typically taken to and from work |
Taxi or ride service typically taken to and from work |
Bus typically taken to and from work |
Train/rail typically taken to and from work |
Ferry typically taken to and from work |
Bicycle typically taken to and from work |",,1,,,,WRKTRANS,Mode to Work,,1,,,WMODE | O_WMODE,"Mode of Transport to Work | Other, Mode of Transport to Work",,1,,,,,,
