Variable Categories,Variable Subject,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Person-Level,Person characteristics,Smartphone Pilot,relationship,Relationship to household person number 1,relationship,Relationship to household person number 1,,1,,,,,relationship,Relationship to survey participant,,1,,,,R_RELAT,Relationship,,,,,RELAT,Relationship,,1,,,,,,
Person-Level,Work-related,Smartphone Pilot,employment,Employment status,employment,Employment status,,1,,,,,worker,Employment status,,1,,,,WORKER,Worker status,,1,,1,EMPLY,Employed,,1,,,,,,
Person-Level,Work-related,Smartphone Pilot,num_jobs,Number of jobs,num_jobs,Number of jobs,,1,,,,,jobs_count,Number of jobs,,1,,,,GT1JBLWK,More than One Job,,2,,,JOBS,Number of Jobs,,1,,,,,,
Person-Level,Work-related,Smartphone Pilot,industry,industry,industry | industry_other,"industry | Industry, other specify",,1,,,,,industry,Work industry,,1,,,,OCCAT,Job Category,,1,,,INDUS | O_INDUS,"Industry | Other, Industry",,1,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_location_type,Work location once COVID-19 measures have ended,work_location_type,Work location once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,WLOC,Work Location,,1,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_lon,Work longitude,work_lon,Work longitude,,1,,,,,,,,,,,,,,,,,,WXCORD,Work X Longitude (in WGS 84),,1,,,1,,,
Person-Level,Work-related,Smartphone Pilot,work_lat,Work latitude,work_lat,Work latitude,,1,,,,,,,,,,,,,,,,,,WYCORD,Work Y Latitude (in WGS 84),,1,,,1,,,
Person-Level,Work-related,NYCDOT Mobility Survery,work_mode,Typical mode to work,,,,,,,,,work_mode,Typical mode to work,,1,,,,WRKTRANS,Mode to Work,,1,,,WMODE | O_WMODE,"Mode of Transport to Work | Other, Mode of Transport to Work",,1,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_walk,Work mode once COVID-19 measures have ended: Walk (or jog/wheelchair),work_mode_broad_walk,Work mode once COVID-19 measures have ended: Walk (or jog/wheelchair),,1,,,,,work_mode_own,Household vehicle typically taken to and from work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_own,Work mode once COVID-19 measures have ended: Household vehicle (or motorcycle),work_mode_broad_own,Work mode once COVID-19 measures have ended: Household vehicle (or motorcycle),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_auto,"Work mode once COVID-19 measures have ended: Other vehicle (e.g., friend’s car, rental, carshare, work car)",work_mode_broad_auto,"Work mode once COVID-19 measures have ended: Other vehicle (e.g., friend’s car, rental, carshare, work car)",,1,,,,,work_mode_auto,Other vehicle typically taken to and from work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_taxi,"Work mode once COVID-19 measures have ended: Uber/Lyft, taxi, or car service",work_mode_broad_taxi,"Work mode once COVID-19 measures have ended: Uber/Lyft, taxi, or car service",,1,,,,,work_mode_taxi,Taxi or ride service typically taken to and from work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_bus,"Work mode once COVID-19 measures have ended: Bus, shuttle, or Commuter Van (dollar van)",work_mode_broad_bus,"Work mode once COVID-19 measures have ended: Bus, shuttle, or Commuter Van (dollar van)",,1,,,,,work_mode_bus,Bus typically taken to and from work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_rail,"Work mode once COVID-19 measures have ended: Rail (e.g., train, subway)",work_mode_broad_rail,"Work mode once COVID-19 measures have ended: Rail (e.g., train, subway)",,1,,,,,work_mode_rail,Train/rail typically taken to and from work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_ferry,Work mode once COVID-19 measures have ended: Ferry,work_mode_broad_ferry,Work mode once COVID-19 measures have ended: Ferry,,1,,,,,work_mode_ferry,Ferry typically taken to and from work,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_bike,Work mode once COVID-19 measures have ended: Bicycle or e-bicycle,work_mode_broad_bike,Work mode once COVID-19 measures have ended: Bicycle or e-bicycle,,1,,,,,work_mode_bike,Bicycle typically taken to and from work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_micromobility,"Work mode once COVID-19 measures have ended: Micromobility (e.g., scooter, moped, skateboard)",work_mode_broad_micromobility,"Work mode once COVID-19 measures have ended: Micromobility (e.g., scooter, moped, skateboard)",,1,,,,,work_mode_scooter,Moped or scooter typically taken to and from work,,2,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_broad_other,Work mode once COVID-19 measures have ended: Other,work_mode_broad_other,Work mode once COVID-19 measures have ended: Other,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_own,Household vehicle used for commuting once COVID-19 measures have ended,work_mode_own,Household vehicle used for commuting once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_auto,Other vehicle used for commuting once COVID-19 measures have ended,work_mode_auto,Other vehicle used for commuting once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_taxi,Taxi or ride service used for commuting once COVID-19 measures have ended,work_mode_taxi,Taxi or ride service used for commuting once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_bus,Bus used for commuting once COVID-19 measures have ended,work_mode_bus,Bus used for commuting once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_rail,Rail used for commuting once COVID-19 measures have ended,work_mode_rail,Rail used for commuting once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_bike,Bicycle used for commuting once COVID-19 measures have ended,work_mode_bike,Bicycle used for commuting once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_mode_micromobility,Micromobility device used for commuting once COVID-19 measures have ended,work_mode_micromobility,Micromobility device used for commuting once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,telework_freq,Typical telecommute frequency once COVID-19 measures have ended (instead of commuting to work that day),telework_freq,Typical telecommute frequency once COVID-19 measures have ended (instead of commuting to work that day),,,,,,,telework_freq,Telework frequency,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,NYCDOT Mobility Survery,telecommute_time,Hours worked for pay yesterday from a remote location that is not at home,,,,,,,,,telecommute_time,Hours worked for pay yesterday from a remote location that is not at home,,,,1,,WRK_HOME,Work from Home,,2,,,TCHRS,Telecommute Hours,,,,,,,,
Person-Level,School-related,Smartphone Pilot,student_status,Student status,student_status,Student status,,1,,,,,student,Student status,,1,,,,SCHTYP,Student Status,,1,,,STUDE,Student Status,,1,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,school_type,Type of school attends,,,,,,,,,school_type,Type of school attends,,1,,,,,,,,,,SCHOL | O_SCHOL,"Level of School | Other, Level of School",,1,,,,,,
Person-Level,School-related,Smartphone Pilot,mode_to_school,Mode from school,school_mode_primary | school_mode_auto | school_mode_bus |school_mode_rail | school_mode_ferry | school_mode_taxi | school_mode_bike | school_mode_other | school_mode_school_bus | school_mode_walk | school_mode_own | school_mode_micromobility,"Primary school mode | School mode: Other vehicle (e.g., friend’s car, rental, carshare, work car) | School mode: Bus, shuttle, or vanpool | School mode: Rail (e.g., train, subway) | School mode: Ferry | School mode: Uber/Lyft, taxi, or car service | School mode: Bicycle or e-bicycle | School mode: Micromobility (e.g., scooter, moped, skateboard) | School mode: School bus | School mode: Walk (or jog/wheelchair) | School mode: Household vehicle (or motorcycle) | School mode: Other",,1,,,,,"school_mode | school_mode_auto | school_mode_bus
| school_mode_rail | school_mode_ferry | school_mode_taxi | school_mode_bike | school_mode_scooter | school_mode_own",Typical mode to school | Other vehicle typically taken to and from school | Bus typically taken to and from school | Train/rail typically taken to and from school | Ferry typically taken to and from school | Taxi or ride service typically taken to and from school | Bicycle typically taken to and from school | Moped or scooter typically taken to and from school | Household vehicle typically taken to and from school,,1,,,,SCHTRN1,Mode to School,,1,,,SMODE | O_SMODE,"Mode of Transport to School | Other, Mode of Transport to School",,1,,,,,,
,,,mode_from_school,Mode from school,,,,,,,,,,,,,,,,SCHTRN2,Mode from School,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,school_egress,School egress mode,,,,,,,,,school_egress,School egress mode,,1,,,,,,,1,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,school_access,School access mode,,,,,,,,,school_access,School access mode,,1,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,school_scooter_park,Moped or scooter parking location at school,,,,,,,,,school_scooter_park,Moped or scooter parking location at school,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Census-related,Smartphone Pilot,school_puma,School Public Use Microdata Area (PUMA),school_puma,School Public Use Microdata Area (PUMA),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,Smartphone Pilot,school_in_region,School in study region,school_in_region,School in study region,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Census-related,Smartphone Pilot,school_bg,School block group,school_bg,School block group,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,RHTS,SLOC,School Location (Home Schooled),,,,,,,,,,,,,,,,,,,,,,SLOC,School Location (Home Schooled),,1,,,,,,
Person-Level,School-related,RHTS,SNAME,School Name,,,,,,,,,,,,,,,,,,,,,,SNAME,School Name,,1,,,,,,
Person-Level,School-related,RHTS,SADDR,School Address,,,,,,,,,,,,,,,,,,,,,,SADDR,School Address,,1,,,,,,
Person-Level,School-related,RHTS,SXSTR,School Cross Streets,,,,,,,,,,,,,,,,,,,,,,SXSTR,School Cross Streets,,1,,,,,,
Person-Level,School-related,RHTS,SCITY,School City (TB),,,,,,,,,,,,,,,,,,,,,,SCITY,School City (TB),,1,,,,,,
Person-Level,School-related,RHTS,SCITY_PL,School City (Place Name),,,,,,,,,,,,,,,,,,,,,,SCITY_PL,School City (Place Name),,1,,,,,,
Person-Level,School-related,RHTS,SCITY_MCD,School City (MCD Place Name),,,,,,,,,,,,,,,,,,,,,,SCITY_MCD,School City (MCD Place Name),,1,,,,,,
Person-Level,School-related,Smartphone Pilot,school_state,School state (fips code),school_state,School state (fips code),,1,,,,,,,,,,,,,,,,,,SSTAT,School State,,1,,,,,,
Person-Level,School-related,RHTS,SZIP,School Zip,,,,,,,,,,,,,,,,,,,,,,SZIP,School Zip,,1,,,,,,
Person-Level,School-related,Smartphone Pilot,school_lon,School longitude,school_lon,School longitude,,1,,,,,,,,,,,,,,,,,,SXCORD,School X Longitude (in WGS 84),,1,,,1,,,
Person-Level,School-related,Smartphone Pilot,school_lat,School latitude,school_lat,School latitude,,1,,,,,,,,,,,,,,,,,,SYCORD,School Y Latitude (in WGS 84),,1,,,1,,,
Person-Level,Census-related,RHTS,STAZ,School Location TAZ (NYMTC),,,,,,,,,,,,,,,,,,,,,,STAZ,School Location TAZ (NYMTC),,1,,,,,,
Person-Level,Census-related,RHTS,STRACT,School Location Census Tract 2010,,,,,,,,,,,,,,,,,,,,,,STRACT,School Location Census Tract 2010,,1,,,,,,
Person-Level,Census-related,Smartphone Pilot,school_county,School county (fips code),school_county,School county (fips code),,1,,,,,,,,,,,,,,,,,,SFIPS,School Location County,,1,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,kid_accompany,Parent or guardian accompanies child/ren on their trip to school or daycare,,,,,,,,,kid_accompany,Parent or guardian accompanies child/ren on their trip to school or daycare,,1,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,school_park_location,Vehicle parking location at school,,,,,,,,,school_park_location,Vehicle parking location at school,,1,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,school_park_amount_day | school_park_amount_month | school_park_amount_week | school_park_amount_year,Amount paid to park at school per day | Amount paid to park at school per week | Amount paid to park at school per month | Amount paid to park at school per year,,,,,,,,,school_park_amount_day | school_park_amount_month | school_park_amount_week | school_park_amount_year,Amount paid to park at school per day | Amount paid to park at school per week | Amount paid to park at school per month | Amount paid to park at school per year,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,transit_freq,Transit use frequency,transit_freq,Transit use frequency,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,transit_pay,Method for paying for transit,transit_pay,Method for paying for transit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,,,,,,,,,,,,vehicle,Vehicle driven most often,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_tnc,"Shared services used: Uber, Lyft, or other smartphone-app ride service",share_tnc,"Shared services used: Uber, Lyft, or other smartphone-app ride service",,1,,,,,tnc_user,Smartphone-app Ride Service User,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_carshare,"Shared services used: Carshare (e.g., ZipCar)",share_carshare,"Shared services used: Carshare (e.g., ZipCar)",,1,,,,,car_share_user | car_share_zipcar | car_share_car2go |  car_share_enterprise | car_share_other | car_share_none,Car Share Service User | Member of a carsharing service: ZipCar | Member of a carsharing service: car2go | Member of a carsharing service: Enterprise Carshare | Member of a carsharing service: Other | Member of a carsharing service: None of the above,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_rental,"Shared services used: Peer-to-peer car rental (e.g., Turo)",share_rental,"Shared services used: Peer-to-peer car rental (e.g., Turo)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_bikeshare,Shared services used: Bikeshare,share_bikeshare,Shared services used: Bikeshare,,1,,,,,bike_share_user,Bike Share Service User,,1,,,,BIKESHARE,Count of Bike Share Program Usage,1,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_commuter_van,Shared services used: Commuter Van (dollar van),share_commuter_van,Shared services used: Commuter Van (dollar van),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_scooter,"Shared services used: Scooter share (e.g., Bird, Lime)",share_scooter,"Shared services used: Scooter share (e.g., Bird, Lime)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_moped,"Shared services used: Moped share (e.g., Scoot)",share_moped,"Shared services used: Moped share (e.g., Scoot)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,share_none,Shared services used: None,share_none,Shared services used: None,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Bicycle travel behavior,Smartphone Pilot,bike_freq,Bicycle use frequency,bike_freq,Bicycle use frequency,,1,,,,,bike_freq,Frequency of riding a bicycle in one of the five boroughs of New York City in the past 12 months,,1,,,,BIKE,Frequency of Bicycle Use for Travel,1,,,,"FBKTS, FBKTW",Frequency of Bike Travel,,1,,,,,,
Person-Level,Bicycle travel behavior,Smartphone Pilot,bikeshare_freq,Frequency of using a bicycle from a bikeshare program,bikeshare_freq,Frequency of using a bicycle from a bikeshare program,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,tnc_freq,"Frequency of using Uber, Lyft, or similar app-based ride services",tnc_freq,"Frequency of using Uber, Lyft, or similar app-based ride services",,,,,,,tnc_freq,"How often uses smartphone-app ride services (e.g., Lyft, Uber)",,1,,,,RIDESHARE,Count of Rideshare App Usage,1,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,None,tnc_use_uber | tnc_use_lyft | tnc_use_via | tnc_use_juno | tnc_use_none,Smartphone-app ride services used,,,,,,,,,tnc_use_uber | tnc_use_lyft | tnc_use_via | tnc_use_juno | tnc_use_none,"Smartphone-app ride services used: Uber | 
Smartphone-app ride services used: Lyft | 
Smartphone-app ride services used: Via | 
Smartphone-app ride services used: Juno | 
Smartphone-app ride services used: None of the above",,1,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,tnc_purp,Most common purpose of smartphone-app ride hailing trips,tnc_purp | tnc_purp_other,"Most common purpose of smartphone-app ride hailing trips | Most common purpose of smartphone-app ride hailing trips, other specify",,1,,,,,tnc_purpose,Most common purpose of trips made using smartphone-app ride services,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,NYCDOT Mobility Survery,tnc_mode,Mode used before began using smartphone-app ride services,,,,,,,,,"tnc_mode | 
tnc_mode_auto | 
tnc_mode_scooter | 
""tnc_mode_taxi |
tnc_mode_bus |
tnc_mode_rail |
tnc_mode_ferry |
tnc_mode_bike","Primary mode used before began using smartphone-app ride services | 
Other vehicle used before began using smartphone-app ride services |
Moped or scooter used before began using smartphone-app ride services |
Taxi used before began using smartphone-app ride services |
Bus used before began using smartphone-app ride services |
Rail used before began using smartphone-app ride services |
Ferry used before began using smartphone-app ride services |
Bicycle used before began using smartphone-app ride services",,1,,,,,,,,,,,,,,,,,,,
Person-Level,Trip replacement behavior,None,no_travel,Reason for no travel on travel day,"no_travel_made_trips |
no_travel_work |
no_travel_telework |
no_travel_home |
no_travel_weather |
no_travel_sick |
no_travel_delivery |
no_travel_remote_school |
no_travel_school_vacation |
no_travel_transportation |
no_travel_other | no_travel_made_trips","Reason for no travel on travel day: Did make trips on travel day | 
Reason for no travel on travel day: Not scheduled to work/took day off |
Reason for no travel on travel day: Worked at home for pay (e.g., telework, self-employed) |
Reason for no travel on travel day: Hung out around home |
Reason for no travel on travel day: Weather conditions (e.g., storm) |
Reason for no travel on travel day: Sick or quarantining (self or others) |
Reason for no travel on travel day: Waited for visitor/delivery (e.g., plumber) |
Reason for no travel on travel day: Kids attended school online/remotely or were homeschooled |
Reason for no travel on travel day: School was scheduled to be closed (e.g., vacation, holiday) |
Reason for no travel on travel day: No available transportation (no car or bus) |
Reason for no travel on travel day: Other reason |
Reason for no travel on travel day: Did make trips on travel day",,,,1,,,"no_travel_capture |
no_travel_no_work |
no_travel_telework |
no_travel_housework |
no_travel_weather |
no_travel_sick |
no_travel_delivery |
no_travel_homeschool |
no_travel_kids_break |
no_travel_no_transport |
no_travel_other |
no_travel_capture","Reason for no travel on travel day: Reason for no travel on travel day I did, but rMove didn't capture the trip(s) | 
Reason for no travel on travel day: Not scheduled to work/took day off | 
Reason for no travel on travel day: Worked at home for pay (e.g., telework, self-employed) |
Reason for no travel on travel day: Hung out or worked around home (unpaid) |
Reason for no travel on travel day: Weather conditions (e.g., storm) |
Reason for no travel on travel day: Was sick or was caring for another person |
Reason for no travel on travel day: Waited for a visitor or delivery (e.g., plumber) |
Reason for no travel on travel day: Kids were home-schooled |
Reason for no travel on travel day: Kids were on school vacation/break |
Reason for no travel on travel day: No available transportation (e.g., no car, no bus) |
Reason for no travel on travel day: Other reason |
Reason for no travel on travel day: Reason for no travel on travel day I did, but rMove didn't capture the trip(s)",,,,1,,SAMEPLC,Reason for No Trips,,1,,,"NOGO |
O_NOGO","Reason for No Trips | 
Other Reason for No Trips",,1,,,,,,
Person-Level,Person characteristics,NYCDOT Mobility Survery,congestion,Opinion on congestion pricing,,,,,,,,,congestion,Opinion on congestion pricing,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,drive_cbd_freq,Frequency of driving vehicle into or within the area of Manhattan south of 60th street,drive_cbd_freq,Frequency of driving vehicle into or within the area of Manhattan south of 60th street,,1,,,,,drive_cbd_freq,Frequency of driving vehicle into or within the area of Manhattan south of 60th Street,,1,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,,,,,,,,,,,,vehicle_id,Unique ID assigned the provided vehicle.,,,1,,,VEHID,Household Vehicle Identifier Used on Trip,,,,,VSAMP,Vehicle Unique Identifier,,,1,,,,,
